"keys","en","fr"
"The Croupier","The Croupier","Le Croupier"
"The sevens are in his pocket tonight.","The sevens are in his pocket tonight.","Les sept chanceux sont dans sa poche, ce soir."
"No Lucky Sevens on this floor.","No Lucky Sevens on this floor.","Aucun Sept Chanceux sur cet étage."
"The Dealer","The Dealer","Le Donneur"
"The diamonds are being counted elsewhere.","The diamonds are being counted elsewhere.","Les diamants sont comptés ailleurs."
"No Diamonds on this floor.","No Diamonds on this floor.","Aucun Diamant sur cet étage."
"The Engineer","The Engineer","L'Ingénieur"
"He needs the machine back early.","He needs the machine back early.","Il a besoin de récupérer la machine plus tôt."
"Two fewer spins on this floor.","Two fewer spins on this floor.","Deux lancers de moins sur cet étage."
"The Gilder","The Gilder","Le Doreur"
"The wilds have been reprinted as something else.","The wilds have been reprinted as something else.","Les Sauvages ont été réimprimés en autre chose."
"No Wilds on this floor.","No Wilds on this floor.","Aucun Sauvage sur cet étage."
"The Inspector","The Inspector","L'Inspecteur"
"He signs for every nudge personally.","He signs for every nudge personally.","Il signe personnellement chaque poussée."
"No nudge is free on this floor.","No nudge is free on this floor.","Aucune poussée n'est gratuite sur cet étage."
"The Manager","The Manager","Le Directeur"
"He takes his share off the top, and off the top of that.","He takes his share off the top, and off the top of that.","Il prend sa part en premier, puis sa part de cette part."
"15% off every payout, before the count takes its own.","15% off every payout, before the count takes its own.","15 % de moins sur chaque gain, avant que la surveillance ne prenne la sienne."
"The Meter","The Meter","Le Compteur"
"It runs whether you win or not.","It runs whether you win or not.","Il tourne, que vous gagniez ou non."
"The ante rises 2% with every spin taken.","The ante rises 2% with every spin taken.","L'ante monte de 2 % à chaque lancer effectué."
"The Notary","The Notary","Le Notaire"
"Two of a kind is a technicality.","Two of a kind is a technicality.","Deux d'un même symbole, c'est une question de forme."
"Pairs pay two-thirds.","Pairs pay two-thirds.","Les paires paient deux tiers."
"The Owner","The Owner","Le Propriétaire"
"Every spin is rent.","Every spin is rent.","Chaque lancer, c'est du loyer."
"The ante rises 2.5% with every spin taken.","The ante rises 2.5% with every spin taken.","L'ante monte de 2,5 % à chaque lancer effectué."
"The Timekeeper","The Timekeeper","Le Chronométreur"
"He started the clock before you came in.","He started the clock before you came in.","Il a lancé l'horloge avant même votre arrivée."
"One fewer spin on this floor.","One fewer spin on this floor.","Un lancer de moins sur cet étage."
"The Undertaker","The Undertaker","Le Croque-Mort"
"He has brought his own stock.","He has brought his own stock.","Il a apporté sa propre marchandise."
"Skulls at nearly double weight.","Skulls at nearly double weight.","Crânes à un poids presque double."
"The Deferral","The Deferral","Le Report"
"The vig on this floor is not charged. It is added to the principal, where it grows.","The vig on this floor is not charged. It is added to the principal, where it grows.","L'agio de cet étage n'est pas prélevé. Il s'ajoute au principal, où il continue de croître."
"The next spin, the last drum lands on a wild. The House has marked it for you.","The next spin, the last drum lands on a wild. The House has marked it for you.","Au prochain lancer, le dernier tambour s'arrête sur un Sauvage. La Maison l'a marqué pour vous."
"The Peek","The Peek","Le Coup d'Œil"
"The next line, printed on the ledger before you spin it. Knowing is not the same as holding.","The next line, printed on the ledger before you spin it. Knowing is not the same as holding.","La prochaine ligne, imprimée sur le registre avant même le lancer. Savoir n'est pas tenir."
"The Respin","The Respin","La Relance"
"A slip that says the last drum did not count. Spin it again, with the decision still on the table.","A slip that says the last drum did not count. Spin it again, with the decision still on the table.","Un bon qui dit que le dernier tambour n'a pas compté. Relancez-le, la décision reste ouverte."
"The Vent","The Vent","La Purge"
"A word with the man on the door. Forty off the count, at once.","A word with the man on the door. Forty off the count, at once.","Un mot avec l'homme de la porte. Quarante de moins sur la surveillance, d'un coup."
"Creative Accounting","Creative Accounting","La Comptabilité Créative"
"The ante is written down. The interest is written up, in a smaller hand.","The ante is written down. The interest is written up, in a smaller hand.","L'ante est revue à la baisse. L'intérêt est revu à la hausse, d'une main plus discrète."
"Danger Money","Danger Money","La Prime de Danger"
"Hazard rates apply. The house stops honouring its own lucky number.","Hazard rates apply. The house stops honouring its own lucky number.","Les taux de risque s'appliquent. La maison cesse d'honorer son propre chiffre porte-bonheur."
"Full Pressure","Full Pressure","Pleine Pression"
"Everything on the jackpot. Pairs stop paying entirely.","Everything on the jackpot. Pairs stop paying entirely.","Tout sur le jackpot. Les paires cessent de payer, entièrement."
"Hard Currency","Hard Currency","Devise Forte"
"Everything pays forty percent more, and the floor is three spins shorter.","Everything pays forty percent more, and the floor is three spins shorter.","Tout paie quarante pour cent de plus, et l'étage compte trois lancers de moins."
"Loose Machine","Loose Machine","Machine Détraquée"
"A screw comes out of the drum. Wilds fall out with it, and so does the float.","A screw comes out of the drum. Wilds fall out with it, and so does the float.","Une vis se détache du tambour. Les Sauvages s'échappent avec elle, et la trésorerie aussi."
"Marked Cards","Marked Cards","Cartes Marquées"
"Somebody has been at the drum with a file. Somebody wants paying.","Somebody has been at the drum with a file. Somebody wants paying.","Quelqu'un s'est attaqué au tambour avec une lime. Quelqu'un veut être payé."
"Overtime","Overtime","Heures Supplémentaires"
"Stay on past the shift. The interest stays on with you.","Stay on past the shift. The interest stays on with you.","Restez après la fermeture. L'intérêt reste avec vous."
"A Quiet Word","A Quiet Word","Un Mot Discret"
"Skulls are on the payroll. Sevens are off it, and the ante is up.","Skulls are on the payroll. Sevens are off it, and the ante is up.","Les crânes sont sur la paie. Les sept chanceux n'y sont plus, et l'ante augmente."
"Short Odds","Short Odds","Cote Serrée"
"Paid on the near things. Never again on the whole thing.","Paid on the near things. Never again on the whole thing.","Payé sur le presque. Plus jamais sur l'entier."
"Skeleton Crew","Skeleton Crew","Équipage Réduit"
"Nobody is watching the floor tonight. Take your time; take less for it.","Nobody is watching the floor tonight. Take your time; take less for it.","Personne ne surveille l'étage ce soir. Prenez votre temps ; ça vous coûtera moins cher."
"The Float","The Float","La Trésorerie"
"They will take less at the desk if you take less time at the machine.","They will take less at the desk if you take less time at the machine.","On vous prendra moins au bureau si vous prenez moins de temps à la machine."
"The Fruit Clause","The Fruit Clause","La Clause des Fruits"
"Cherries and lemons are worth having. Bars are worth nothing at all.","Cherries and lemons are worth having. Bars are worth nothing at all.","Les cerises et les citrons valent la peine. Les Bars ne valent rien du tout."
"The Long Shift","The Long Shift","La Longue Garde"
"Two more nudges an award, and every payout shaved for the privilege.","Two more nudges an award, and every payout shaved for the privilege.","Deux poussées de plus par récompense, et chaque gain rogné pour le privilège."
"The Night Shift","The Night Shift","Le Service de Nuit"
"The floor is busy and the machines are warm. One more spin, and the House prices the room accordingly.","The floor is busy and the machines are warm. One more spin, and the House prices the room accordingly.","L'étage est animé et les machines sont chaudes. Un lancer de plus, et la Maison en fixe le prix en conséquence."
"A Quiet Room","A Quiet Room","Une Salle Calme"
"Nobody is playing. One spin fewer and the House asks less to be left alone.","Nobody is playing. One spin fewer and the House asks less to be left alone.","Personne ne joue. Un lancer de moins, et la Maison demande moins pour qu'on la laisse tranquille."
"An Orchard Run","An Orchard Run","Une Récolte au Verger"
"Somebody has been at the reels. The fruit is heavy tonight.","Somebody has been at the reels. The fruit is heavy tonight.","Quelqu'un s'est occupé des rouleaux. Les fruits sont généreux, ce soir."
"Cold Iron","Cold Iron","Fer Froid"
"The bars and the sevens are riding high, and the House has noticed.","The bars and the sevens are riding high, and the House has noticed.","Les Bars et les sept chanceux se portent bien, et la Maison l'a remarqué."
"Short-Staffed","Short-Staffed","Sous-Effectif"
"Nobody could be spared for this floor. The House charges for the privilege.","Nobody could be spared for this floor. The House charges for the privilege.","Personne n'a pu être détaché pour cet étage. La Maison facture le privilège."
"The float came up short this morning. Scrip instead of credit, and the House keeps a little of both.","The float came up short this morning. Scrip instead of credit, and the House keeps a little of both.","La trésorerie était en manque ce matin. Des jetons au lieu de crédits, et la Maison garde un peu des deux."
"Lights Out","Lights Out","Extinction des Feux"
"Half the room is dark. What pays, pays well.","Half the room is dark. What pays, pays well.","La moitié de la salle est éteinte. Ce qui paie, paie bien."
"Papered Over","Papered Over","Maquillage Comptable"
"The skulls have been struck off the strip and nobody has replaced them yet.","The skulls have been struck off the strip and nobody has replaced them yet.","Les crânes ont été retirés de la bande, et personne ne les a encore remplacés."
"All In","All In","Tapis"
"A quarter more on every ante, one fewer spin, and the vig half again. Every rule at once.","A quarter more on every ante, one fewer spin, and the vig half again. Every rule at once.","Un quart de plus sur chaque ante, un lancer de moins, et l'agio à une fois et demie. Toutes les règles à la fois."
"Bare Reels","Bare Reels","Rouleaux Nus"
"No holds and no nudges; three spins a floor and a tenth on every line in lieu. The basement never taught you, and the machine does not owe you a trail.","No holds and no nudges; three spins a floor and a tenth on every line in lieu. The basement never taught you, and the machine does not owe you a trail.","Ni blocage ni poussée ; trois lancers par étage et un dixième sur chaque ligne en compensation. Le sous-sol ne vous a rien appris, et la machine ne vous doit aucune piste."
"Cold Hands","Cold Hands","Mains Froides"
"No stake and no ladder. One credit a spin, and every win is banked as it stands.","No stake and no ladder. One credit a spin, and every win is banked as it stands.","Ni mise ni échelle. Un crédit par lancer, et chaque gain est encaissé tel quel."
"Dear Hardware","Dear Hardware","Matériel Coûteux"
"Everything in the draft costs sixty percent more.","Everything in the draft costs sixty percent more.","Tout, dans le tirage, coûte soixante pour cent de plus."
"Debtors' Prison","Debtors' Prison","La Prison pour Dettes"
"You owe four times what you owe.","You owe four times what you owe.","Vous devez quatre fois ce que vous devez."
"Flush and Owing","Flush and Owing","Riche et Endetté"
"Three hundred credits in hand, and three times the debt behind them.","Three hundred credits in hand, and three times the debt behind them.","Trois cents crédits en main, et trois fois la dette derrière eux."
"Full Kit","Full Kit","Équipement Complet"
"Every verb from the basement: the market, the stake, the ladder, the vault, the office, the works. The House is counting from the start too.","Every verb from the basement: the market, the stake, the ladder, the vault, the office, the works. The House is counting from the start too.","Chaque mécanique du sous-sol : le marché, la mise, l'échelle, le coffre, le bureau, les rouages. La Maison compte depuis le départ, elle aussi."
"Interest Only","Interest Only","Intérêts Seuls"
"Every floor's debt interest is forty points higher. Pay it down or watch it.","Every floor's debt interest is forty points higher. Pay it down or watch it.","L'intérêt de la dette est quarante points plus élevé, à chaque étage. Remboursez-la, ou regardez-la grossir."
"Lean","Lean","Maigre"
"Ten credits fewer to start, and nothing to make up for it.","Ten credits fewer to start, and nothing to make up for it.","Dix crédits de moins au départ, et rien pour compenser."
"No Grace","No Grace","Aucun Répit"
"The vig is due from the first floor. The House does not wait for anyone.","The vig is due from the first floor. The House does not wait for anyone.","L'agio est dû dès le premier étage. La Maison n'attend personne."
"No Market","No Market","Aucun Marché"
"The draft is what it is: no reroll, no selling back, no slate.","The draft is what it is: no reroll, no selling back, no slate.","Le tirage est ce qu'il est : pas de relance, pas de revente, pas d'ardoise."
"No Paper","No Paper","Aucun Papier"
"The back office is closed. No contracts, no terms, house rules on every floor.","The back office is closed. No contracts, no terms, house rules on every floor.","Le back-office est fermé. Pas de contrats, pas de conditions, la loi de la Maison à chaque étage."
"No Vault","No Vault","Aucun Coffre"
"Nothing is banked. Every credit you hold is a credit in the purse.","Nothing is banked. Every credit you hold is a credit in the purse.","Rien n'est encaissé. Chaque crédit en main est un crédit dans la cagnotte."
"No Works","No Works","Aucun Rouage"
"The engine room is closed. Three reels and one row, for the whole run.","The engine room is closed. Three reels and one row, for the whole run.","La salle des machines est fermée. Trois rouleaux et une rangée, pour toute la partie."
"Short Count","Short Count","Compte Écourté"
"Two fewer spins on every floor.","Two fewer spins on every floor.","Deux lancers de moins à chaque étage."
"Skulls Pay","Skulls Pay","Les Crânes Paient"
"Every skull on the line pays six instead of costing you. The House has put them on the payroll for the whole run.","Every skull on the line pays six instead of costing you. The House has put them on the payroll for the whole run.","Chaque crâne sur la ligne paie six au lieu de vous coûter. La Maison les a mis sur la paie pour toute la partie."
"The Vig Doubles","The Vig Doubles","L'Agio Double"
"The service payment is twice what it was, every floor. The principal has not moved.","The service payment is twice what it was, every floor. The principal has not moved.","Le paiement de service est deux fois plus élevé, à chaque étage. Le principal, lui, n'a pas bougé."
"Tight Machine","Tight Machine","Machine Serrée"
"Every payout is nine tenths of what it should be. The machine has been adjusted.","Every payout is nine tenths of what it should be. The machine has been adjusted.","Chaque gain vaut neuf dixièmes de ce qu'il devrait. La machine a été ajustée."
"Standard","Standard","Standard"
"The game as it is played. Seven floors, one debt, the House counting.","The game as it is played. Seven floors, one debt, the House counting.","Le jeu tel qu'il se joue. Sept étages, une dette, et la Maison qui compte."
"Marked Deck","Marked Deck","Jeu Marqué"
"Every ante eight percent dearer. The House has seen you before.","Every ante eight percent dearer. The House has seen you before.","Chaque ante coûte huit pour cent de plus. La Maison vous a déjà vu."
"The Vig Rises","The Vig Rises","L'Agio Augmente"
"The service payment is half again what it was. The debt is the same; the House is more interested in it.","The service payment is half again what it was. The debt is the same; the House is more interested in it.","Le paiement de service augmente de moitié. La dette reste la même ; la Maison s'y intéresse davantage."
"Tight Purse","Tight Purse","Cagnotte Serrée"
"Everything in the draft costs a fifth more. The market has heard about you.","Everything in the draft costs a fifth more. The market has heard about you.","Tout, dans le tirage, coûte un cinquième de plus. Le marché a entendu parler de vous."
"Cold Start","Cold Start","Départ à Froid"
"You owe half again what you owed. The paperwork was always going to say that.","You owe half again what you owed. The paperwork was always going to say that.","Vous devez la moitié en plus de ce que vous deviez. La paperasse allait toujours dire ça."
"Compound Interest","Compound Interest","Intérêts Composés"
"Every floor's interest is fifteen points higher. The debt has started to grow faster than you do.","Every floor's interest is fifteen points higher. The debt has started to grow faster than you do.","L'intérêt de chaque étage est quinze points plus élevé. La dette a commencé à croître plus vite que vous."
"Every payout is nineteen twentieths of what it should be. The machine has been adjusted, and every audit before this one still holds.","Every payout is nineteen twentieths of what it should be. The machine has been adjusted, and every audit before this one still holds.","Chaque gain vaut dix-neuf vingtièmes de ce qu'il devrait. La machine a été ajustée, et chaque audit précédent tient toujours."
"House Rules","House Rules","Les Règles de la Maison"
"Every ante a fifth dearer, on top of everything. The last audit.","Every ante a fifth dearer, on top of everything. The last audit.","Chaque ante coûte un cinquième de plus, en plus de tout le reste. Le dernier audit."
"The Standard","The Standard","Le Standard"
"The machine as the House keeps it. Every floor teaches, every floor charges.","The machine as the House keeps it. Every floor teaches, every floor charges.","La machine telle que la Maison l'entretient. Chaque étage enseigne, chaque étage facture."
"The Overdraft","The Overdraft","Le Découvert"
"More in the purse, more on the account. The House lends; it always has.","More in the purse, more on the account. The House lends; it always has.","Plus dans la cagnotte, plus sur le compte. La Maison prête ; elle l'a toujours fait."
"The Strongbox","The Strongbox","Le Coffre-Fort"
"The vault fitted from the basement, forty in the purse and three chips in hand. It pays a tenth less.","The vault fitted from the basement, forty in the purse and three chips in hand. It pays a tenth less.","Le coffre monté dès le sous-sol, quarante dans la cagnotte et trois jetons en main. Il paie un dixième de moins."
"A challenge run: a quarter more on every ante, one fewer spin, and the vig half again.","A challenge run: a quarter more on every ante, one fewer spin, and the vig half again.","Une partie défi : un quart de plus sur chaque ante, un lancer de moins, et l'agio à une fois et demie."
"A challenge run: no holds and no nudges.","A challenge run: no holds and no nudges.","Une partie défi : ni blocage ni poussée."
"A challenge run: no stake and no ladder.","A challenge run: no stake and no ladder.","Une partie défi : ni mise ni échelle."
"A challenge run: everything in the draft costs sixty percent more.","A challenge run: everything in the draft costs sixty percent more.","Une partie défi : tout, dans le tirage, coûte soixante pour cent de plus."
"A challenge run: you owe four times what you owe.","A challenge run: you owe four times what you owe.","Une partie défi : vous devez quatre fois ce que vous devez."
"A challenge run: three hundred credits in hand, and three times the debt behind them.","A challenge run: three hundred credits in hand, and three times the debt behind them.","Une partie défi : trois cents crédits en main, et trois fois la dette derrière eux."
"A challenge run: every verb from the basement: the market, the stake, the ladder, the vault, the office, the works.","A challenge run: every verb from the basement: the market, the stake, the ladder, the vault, the office, the works.","Une partie défi : chaque mécanique du sous-sol : le marché, la mise, l'échelle, le coffre, le bureau, les rouages."
"A challenge run: every floor's debt interest is forty points higher.","A challenge run: every floor's debt interest is forty points higher.","Une partie défi : l'intérêt de la dette est quarante points plus élevé, à chaque étage."
"A challenge run: ten credits fewer to start, and nothing to make up for it.","A challenge run: ten credits fewer to start, and nothing to make up for it.","Une partie défi : dix crédits de moins au départ, et rien pour compenser."
"A challenge run: the vig is due from the first floor.","A challenge run: the vig is due from the first floor.","Une partie défi : l'agio est dû dès le premier étage."
"A challenge run: the draft is what it is: no reroll, no selling back, no slate.","A challenge run: the draft is what it is: no reroll, no selling back, no slate.","Une partie défi : le tirage est ce qu'il est : pas de relance, pas de revente, pas d'ardoise."
"A challenge run: the back office is closed.","A challenge run: the back office is closed.","Une partie défi : le back-office est fermé."
"A challenge run: nothing is banked.","A challenge run: nothing is banked.","Une partie défi : rien n'est encaissé."
"A challenge run: the engine room is closed.","A challenge run: the engine room is closed.","Une partie défi : la salle des machines est fermée."
"A challenge run: two fewer spins on every floor.","A challenge run: two fewer spins on every floor.","Une partie défi : deux lancers de moins à chaque étage."
"A challenge run: every skull on the line pays six instead of costing you.","A challenge run: every skull on the line pays six instead of costing you.","Une partie défi : chaque crâne sur la ligne paie six au lieu de vous coûter."
"A challenge run: the service payment is twice what it was, every floor.","A challenge run: the service payment is twice what it was, every floor.","Une partie défi : le paiement de service est deux fois plus élevé, à chaque étage."
"A challenge run: every payout is nine tenths of what it should be.","A challenge run: every payout is nine tenths of what it should be.","Une partie défi : chaque gain vaut neuf dixièmes de ce qu'il devrait."
"A chit: this floor's vig goes on the principal instead.","A chit: this floor's vig goes on the principal instead.","Un bon : l'agio de cet étage s'ajoute au principal à la place."
"A chit: the last drum lands a wild next spin.","A chit: the last drum lands a wild next spin.","Un bon : le dernier tambour s'arrête sur un Sauvage au prochain lancer."
"A chit: forty off the count, at once.","A chit: forty off the count, at once.","Un bon : quarante de moins sur la surveillance, d'un coup."
"Audit 5 of 8. A win on the rung below opens it.","Audit 5 of 8. A win on the rung below opens it.","Audit 5 sur 8. Une victoire au palier inférieur l'ouvre."
"Audit 6 of 8. A win on the rung below opens it.","Audit 6 of 8. A win on the rung below opens it.","Audit 6 sur 8. Une victoire au palier inférieur l'ouvre."
"Patience is a product.","Patience is a product.","La patience est un produit."
"They let you watch the count.","They let you watch the count.","Ils vous laissent consulter la surveillance."
"Something in the basement hums.","Something in the basement hums.","Quelque chose bourdonne dans le sous-sol."
"Hardware: the count barely moves.","Hardware: the count barely moves.","Matériel : la surveillance bouge à peine."
"The last letter they send.","The last letter they send.","La dernière lettre qu'ils envoient."
"Flush Start","Flush Start","Départ Généreux"
"Start with more cash and more debt.","Start with more cash and more debt.","Commencez avec plus d'argent, et plus de dette."
"Hardware: it keeps what it is given.","Hardware: it keeps what it is given.","Matériel : il garde ce qu'on lui donne."
"The floor never closes to you now.","The floor never closes to you now.","L'étage ne ferme plus jamais pour vous, désormais."
"The whole harvest, counted at last.","The whole harvest, counted at last.","Toute la récolte, enfin comptée."
"The policy is amended in your favour.","The policy is amended in your favour.","La police est modifiée en votre faveur."
"High Roller's Cage","High Roller's Cage","La Cage des Gros Joueurs"
"Hardware: where the big money is kept while it plays.","Hardware: where the big money is kept while it plays.","Matériel : là où le gros argent est gardé pendant qu'il joue."
"They will renegotiate, once.","They will renegotiate, once.","Ils renégocieront, une fois."
"You have been on the wrong side of it.","You have been on the wrong side of it.","Vous avez été du mauvais côté de l'affaire."
"Audit 8 of 8. A win on the rung below opens it.","Audit 8 of 8. A win on the rung below opens it.","Audit 8 sur 8. Une victoire au palier inférieur l'ouvre."
"The record is editable.","The record is editable.","Le registre est modifiable."
"Audit 2 of 8. A win on the rung below opens it.","Audit 2 of 8. A win on the rung below opens it.","Audit 2 sur 8. Une victoire au palier inférieur l'ouvre."
"Every stop on the machine opens.","Every stop on the machine opens.","Chaque arrêt de la machine s'ouvre."
"No name on it at all, this time.","No name on it at all, this time.","Aucun nom dessus, cette fois."
"A clause nobody read, and it is yours.","A clause nobody read, and it is yours.","Une clause que personne n'a lue, et elle est à vous."
"Two of everything.","Two of everything.","Deux de chaque."
"He remembers you now.","He remembers you now.","Il se souvient de vous, maintenant."
"Hardware: the machines wired together.","Hardware: the machines wired together.","Matériel : les machines reliées entre elles."
"Hardware: the boiler will take a vent.","Hardware: the boiler will take a vent.","Matériel : la chaudière acceptera une soupape."
"Hardware: no cameras, by arrangement.","Hardware: no cameras, by arrangement.","Matériel : pas de caméras, sur arrangement."
"A machine: the vault from the basement, cash in hand, payouts down.","A machine: the vault from the basement, cash in hand, payouts down.","Une machine : le coffre depuis le sous-sol, de l'argent en main, des gains réduits."
"Hardware: every trigger patched through one board.","Hardware: every trigger patched through one board.","Matériel : chaque déclenchement raccordé à un même tableau."
"Audit 3 of 8. A win on the rung below opens it.","Audit 3 of 8. A win on the rung below opens it.","Audit 3 sur 8. Une victoire au palier inférieur l'ouvre."
"Hardware: the House sends a car. +2.0x per stake level.","Hardware: the House sends a car. +2.0x per stake level.","Matériel : la Maison envoie une voiture. +2,0x par niveau de mise."
"Audit 7 of 8. A win on the rung below opens it.","Audit 7 of 8. A win on the rung below opens it.","Audit 7 sur 8. Une victoire au palier inférieur l'ouvre."
"Audit 4 of 8. A win on the rung below opens it.","Audit 4 of 8. A win on the rung below opens it.","Audit 4 sur 8. Une victoire au palier inférieur l'ouvre."
"Hardware: a second boiler, beside the first.","Hardware: a second boiler, beside the first.","Matériel : une seconde chaudière, à côté de la première."
"The bank notices you.","The bank notices you.","La banque vous remarque."
"Hardware: every paying spin feeds the next.","Hardware: every paying spin feeds the next.","Matériel : chaque lancer payant nourrit le suivant."
"The Basement","The Basement","Le Sous-sol"
"One machine, one bare bulb, one bad idea.","One machine, one bare bulb, one bad idea.","Une machine, une ampoule nue, une mauvaise idée."
"The Casino","The Casino","Le Casino"
"Carpet, noise, and someone selling you something.","Carpet, noise, and someone selling you something.","De la moquette, du bruit, et quelqu'un qui vous vend quelque chose."
"The High Roller Room","The High Roller Room","Le Salon des Gros Joueurs"
"The stakes climb and so does the ceiling.","The stakes climb and so does the ceiling.","Les mises grimpent, et le plafond aussi."
"The Vault","The Vault","Le Coffre"
"Money that sits still starts to breed.","Money that sits still starts to breed.","L'argent qui dort finit par se reproduire."
"The Back Office","The Back Office","Le Back-Office"
"Where the rules are typed up and signed.","Where the rules are typed up and signed.","Là où les règles sont rédigées et signées."
"The Engine Room","The Engine Room","La Salle des Machines"
"Every machine on the floor, wired to yours.","Every machine on the floor, wired to yours.","Toutes les machines de l'étage, reliées à la vôtre."
"The House","The House","La Maison"
"It has been counting the whole time.","It has been counting the whole time.","Elle a compté depuis le début."
"The Bank","The Bank","La Banque"
"Bell","Bell","Cloche"
"Cherry","Cherry","Cerise"
"Diamond","Diamond","Diamant"
"Double Bar","Double Bar","Double Bar"
"Grapes","Grapes","Raisins"
"Horseshoe","Horseshoe","Fer à Cheval"
"Lemon","Lemon","Citron"
"Orange","Orange","Orange"
"Lucky Seven","Lucky Seven","Sept Chanceux"
"Skull","Skull","Crâne"
"Watermelon","Watermelon","Pastèque"
"Wild Joker","Wild Joker","Joker Sauvage"
"IOU","IOU","IOU"
"Bar","Bar","Bar"
"  daily %s","  daily %s","  quotidien %s"
"RUN OVER — cleared_all_floors","RUN OVER — cleared_all_floors","PARTIE TERMINÉE — cleared_all_floors"
"SPACE to stay at the table     F5 for a new run     F2 for setup","SPACE to stay at the table     F5 for a new run     F2 for setup","ESPACE pour rester à la table     F5 pour une nouvelle partie     F2 pour la configuration"
"TAP to stay at the table — or New run / Setup, top right","TAP to stay at the table — or New run / Setup, top right","TOUCHEZ pour rester à la table — ou Nouvelle partie / Configuration, en haut à droite"
"%d credits in hand.","%d credits in hand.","%d crédits en main."
"A spin costs %d. The close of this floor charges the vig of %d and then the ante of %d.","A spin costs %d. The close of this floor charges the vig of %d and then the ante of %d.","Un lancer coûte %d. La clôture de cet étage prélève l'agio de %d, puis l'ante de %d."
"Credits never buy hardware — that is what the chips are for.","Credits never buy hardware — that is what the chips are for.","Les crédits n'achètent jamais de matériel — c'est à ça que servent les jetons."
"%d due when the spins run out.","%d due when the spins run out.","%d dû quand les lancers sont épuisés."
"%s asks %d; the rest is what the House has added since — its people, the count, the contract, and %d notice%s.","%s asks %d; the rest is what the House has added since — its people, the count, the contract, and %d notice%s.","%s demande %d ; le reste, c'est ce que la Maison a ajouté depuis — ses gens, la surveillance, le contrat, et %d avis%s."
"Miss it and the House keeps the table.","Miss it and the House keeps the table.","Le manquer, et la Maison garde la table."
"%d left of the %d this floor allows.","%d left of the %d this floor allows.","%d restants sur les %d que cet étage autorise."
"A paid nudge costs one of them.","A paid nudge costs one of them.","Une poussée payante en coûte une."
"Settle with %d or more still on the clock and the scrip pays double.","Settle with %d or more still on the clock and the scrip pays double.","Réglez avec %d ou plus encore au compteur, et les jetons paient double."
"%d of the House's scrip.","%d of the House's scrip.","%d des jetons de la Maison."
"It buys the draft, the reroll, the press and a word with the doorman. It settles nothing.","It buys the draft, the reroll, the press and a word with the doorman. It settles nothing.","Ils achètent le tirage, la relance, la presse et un mot avec le portier. Ils ne règlent rien."
"A reroll costs %d.","A reroll costs %d.","Une relance coûte %d."
"The count","The count","La Surveillance"
"%d of 100.","%d of 100.","%d sur 100."
"Nobody is counting yet. The House starts on its own floor.","Nobody is counting yet. The House starts on its own floor.","Personne ne surveille encore. La Maison démarre sur son propre étage."
"Nobody has looked up. The skim starts at %d.","Nobody has looked up. The skim starts at %d.","Personne n'a levé les yeux. L'écrémage démarre à %d."
"%s. A word costs %d credits.","%s. A word costs %d credits.","%s. Un mot coûte %d crédits."
"It rises with what you win and falls with every spin you do not.","It rises with what you win and falls with every spin you do not.","Elle grimpe avec ce que vous gagnez, et retombe à chaque lancer qui ne paie pas."
"The House holds %d%% of you.","The House holds %d%% of you.","La Maison détient %d %% de vous."
"Nothing while the close is covered; all of it when the spins left cannot reach what is owed.","Nothing while the close is covered; all of it when the spins left cannot reach what is owed.","Rien tant que la clôture est couverte ; tout quand les lancers restants ne peuvent plus couvrir ce qui est dû."
"A dead spin puts it up by the spin it wasted. A paying one brings it down by what it paid.","A dead spin puts it up by the spin it wasted. A paying one brings it down by what it paid.","Un lancer mort la fait monter du lancer qu'il a gâché. Un lancer payant la fait descendre de ce qu'il a payé."
"x%.2f on the line standing.","x%.2f on the line standing.","x%.2f sur la ligne en jeu."
"%s, %d device%s, and a stake of %d.","%s, %d device%s, and a stake of %d.","%s, %d appareil%s, et une mise de %d."
"The receipt prints every part of it as the spin scores.","The receipt prints every part of it as the spin scores.","Le reçu imprime chaque élément à mesure que le lancer marque des points."
"Costs %d, and voids the pattern unless something is warding it.","Costs %d, and voids the pattern unless something is warding it.","Coûte %d, et annule le motif à moins que quelque chose ne le protège."
"Pays %d%s.","Pays %d%s.","Paie %d%s."
" (%d gilt on)"," (%d gilt on)"," (%d doré)"
"Lands %.1f%% of the time on this reel as it stands.","Lands %.1f%% of the time on this reel as it stands.","Tombe %.1f %% du temps sur ce rouleau, tel qu'il est."
"Pays %d chip%s wherever it stands on a scoring row.","Pays %d chip%s wherever it stands on a scoring row.","Paie %d jeton%s partout où il tombe sur une rangée gagnante."
"One of the %s.","One of the %s.","Un des %s."
"you are %d short","you are %d short","il vous manque %d"
"you can cover it","you can cover it","vous pouvez couvrir"
"ANTE DUE  %d     CASH %d     %s","ANTE DUE  %d     CASH %d     %s","ANTE DUE  %d     ARGENT %d     %s"
"The vault holds %d — breaking it now returns %d.","The vault holds %d — breaking it now returns %d.","Le coffre contient %d — le forcer maintenant en rend %d."
"SPACE to settle","SPACE to settle","ESPACE pour régler"
"TAP to settle","TAP to settle","TOUCHEZ pour régler"
"First seen: %s","First seen: %s","Vu pour la première fois : %s"
